,age,gender,time,type_route,price,difficulty,accompaniment,transport,route_id
3203,+45,Hombre,5.5,Literaria,+50 Euros,Baja,Pareja,Pie,Entre Naranjos
3204,0-18,Mujer,3.5,Historica,+50 Euros,Baja,Pareja,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
3205,+45,Mujer,5.5,Turistica,1-50 Euros,Baja,Solo,Bicicleta,Arbres: La volta al món
3206,0-18,Mujer,3.5,Literaria,+50 Euros,Baja,Solo,Bicicleta,Contes Blasco Ibañez – Ruta 1
3207,+45,Mujer,5.5,Patrimonio,+50 Euros,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
3208,35-45,Prefiero no decirlo,5.5,Literaria,+50 Euros,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
3209,+45,Mujer,3.5,Turistica,+50 Euros,Alta,Solo,Bicicleta,Trinitat - L'Almodí
3210,0-18,Hombre,7.5,Historica,+50 Euros,Alta,Solo,Pie,Glorieta-Santa Catalina
3211,35-45,Hombre,5.5,Turistica,Gratis,Alta,Solo,Pie,Glorieta-Santa Catalina
3212,35-45,Mujer,7.5,Historica,+50 Euros,Baja,Amigos,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
3213,0-18,Mujer,1.5,Literaria,+50 Euros,Alta,Solo,Bicicleta,Glorieta-Santa Catalina
3214,35-45,Mujer,5.5,Turistica,Gratis,Baja,Solo,Pie,Arbres: La volta al món
3215,35-45,Hombre,1.5,Patrimonio,+50 Euros,Alta,Familia,Bicicleta,Glorieta-Santa Catalina
3216,18-35,Mujer,3.5,Patrimonio,+50 Euros,Alta,Familia,Bicicleta,Ruta València amb bicicleta
3217,18-35,Prefiero no decirlo,7.5,Historica,+50 Euros,Baja,Familia,Bicicleta,Arbres monumentals i singulars
3218,18-35,Hombre,3.5,Turistica,+50 Euros,Baja,Familia,Pie,Arbres: Un viatge pel Mediterrani
3219,+45,Mujer,3.5,Patrimonio,1-50 Euros,Baja,Amigos,Pie,Torres de Quart - Temple
3220,+45,Prefiero no decirlo,5.5,Patrimonio,+50 Euros,Baja,Pareja,Pie,Ruta Carrer Russafa - la Llotja
3221,0-18,Hombre,5.5,Turistica,Gratis,Baja,Solo,Bicicleta,Arbres: La volta al món
3222,+45,Hombre,5.5,Literaria,Gratis,Baja,Amigos,Bicicleta,Entre Naranjos
3223,18-35,Prefiero no decirlo,7.5,Turistica,+50 Euros,Baja,Amigos,Pie,Arbres: Els indians
3224,18-35,Prefiero no decirlo,7.5,Historica,+50 Euros,Baja,Amigos,Bicicleta,Ruta Cultural Anell Ciclista
3225,+45,Prefiero no decirlo,3.5,Turistica,+50 Euros,Baja,Familia,Pie,Arbres: La volta al món
3226,+45,Prefiero no decirlo,7.5,Turistica,1-50 Euros,Alta,Familia,Pie,Glorieta-Santa Catalina
3227,+45,Prefiero no decirlo,7.5,Historica,Gratis,Alta,Pareja,Pie,Trinitat - L'Almodí
3228,+45,Mujer,3.5,Literaria,Gratis,Alta,Solo,Bicicleta,Trinitat - L'Almodí
3229,18-35,Mujer,3.5,Turistica,+50 Euros,Alta,Pareja,Bicicleta,Ruta València amb bicicleta
3230,+45,Mujer,1.5,Patrimonio,1-50 Euros,Alta,Familia,Bicicleta,Trinitat - L'Almodí
3231,35-45,Mujer,7.5,Turistica,Gratis,Alta,Solo,Pie,Trinitat - L'Almodí
3232,+45,Mujer,5.5,Patrimonio,Gratis,Baja,Amigos,Pie,Ruta Carrer Russafa - la Llotja
3233,18-35,Prefiero no decirlo,5.5,Literaria,+50 Euros,Alta,Familia,Bicicleta,Ruta València amb bicicleta
3234,+45,Prefiero no decirlo,5.5,Historica,Gratis,Alta,Solo,Bicicleta,Trinitat - L'Almodí
3235,35-45,Hombre,5.5,Turistica,1-50 Euros,Alta,Amigos,Pie,Trinitat - L'Almodí
3236,+45,Mujer,7.5,Patrimonio,1-50 Euros,Alta,Familia,Pie,Glorieta-Santa Catalina
3237,+45,Hombre,1.5,Turistica,+50 Euros,Alta,Familia,Pie,Trinitat - L'Almodí
3238,18-35,Hombre,1.5,Literaria,Gratis,Baja,Familia,Pie,Contes Blasco Ibañez – Ruta 2
3239,35-45,Prefiero no decirlo,1.5,Patrimonio,Gratis,Alta,Familia,Bicicleta,Trinitat - L'Almodí
3240,+45,Prefiero no decirlo,1.5,Patrimonio,Gratis,Alta,Solo,Bicicleta,Glorieta-Santa Catalina
3241,+45,Hombre,3.5,Turistica,1-50 Euros,Alta,Familia,Bicicleta,Trinitat - L'Almodí
3242,+45,Hombre,5.5,Patrimonio,+50 Euros,Alta,Solo,Pie,Trinitat - L'Almodí
3243,0-18,Mujer,3.5,Patrimonio,1-50 Euros,Baja,Pareja,Bicicleta,Torres de Quart - Temple
3244,0-18,Mujer,3.5,Literaria,1-50 Euros,Alta,Amigos,Pie,Glorieta-Santa Catalina
3245,+45,Mujer,5.5,Literaria,1-50 Euros,Baja,Pareja,Bicicleta,Contes Blasco Ibañez – Ruta 1
3246,+45,Mujer,5.5,Historica,+50 Euros,Baja,Pareja,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
3247,0-18,Prefiero no decirlo,7.5,Historica,Gratis,Baja,Amigos,Pie,Ruta dels Pecats a l'entorn del Mercat Central
3248,18-35,Prefiero no decirlo,3.5,Historica,1-50 Euros,Alta,Pareja,Pie,Ruta de la Seda
3249,35-45,Mujer,7.5,Literaria,Gratis,Alta,Pareja,Pie,Trinitat - L'Almodí
3250,+45,Hombre,7.5,Patrimonio,+50 Euros,Alta,Solo,Bicicleta,Glorieta-Santa Catalina
3251,0-18,Mujer,5.5,Literaria,+50 Euros,Baja,Pareja,Pie,Entre Naranjos
3252,18-35,Hombre,7.5,Historica,Gratis,Alta,Solo,Pie,Ruta recinte enmurallat d'època islàmica
3253,18-35,Hombre,7.5,Turistica,Gratis,Alta,Pareja,Pie,Ruta pel Centre Històric
3254,35-45,Prefiero no decirlo,5.5,Patrimonio,Gratis,Baja,Familia,Pie,Ruta Carrer Russafa - la Llotja
3255,+45,Mujer,3.5,Turistica,1-50 Euros,Alta,Familia,Pie,Trinitat - L'Almodí
3256,18-35,Mujer,7.5,Literaria,Gratis,Baja,Solo,Bicicleta,Ruta Cultural Anell Ciclista
3257,0-18,Hombre,7.5,Historica,+50 Euros,Baja,Solo,Pie,Ruta dels Pecats a l'entorn del Mercat Central
3258,0-18,Mujer,7.5,Historica,1-50 Euros,Baja,Familia,Pie,Ruta dels Pecats a l'entorn del Mercat Central
3259,+45,Hombre,1.5,Turistica,+50 Euros,Baja,Solo,Pie,Arbres: La volta al món
3260,18-35,Mujer,1.5,Turistica,+50 Euros,Alta,Pareja,Pie,Ruta pel Centre Històric
3261,18-35,Prefiero no decirlo,1.5,Literaria,Gratis,Alta,Solo,Bicicleta,Ruta València amb bicicleta
3262,35-45,Hombre,3.5,Turistica,Gratis,Alta,Familia,Bicicleta,Glorieta-Santa Catalina
3263,+45,Prefiero no decirlo,1.5,Turistica,+50 Euros,Alta,Amigos,Pie,Trinitat - L'Almodí
3264,35-45,Hombre,7.5,Historica,Gratis,Alta,Solo,Pie,Glorieta-Santa Catalina
3265,0-18,Hombre,7.5,Literaria,Gratis,Baja,Amigos,Bicicleta,Contes Blasco Ibañez – Ruta 1
3266,0-18,Mujer,3.5,Historica,1-50 Euros,Baja,Pareja,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
3267,+45,Prefiero no decirlo,7.5,Literaria,+50 Euros,Alta,Solo,Pie,Glorieta-Santa Catalina
3268,35-45,Mujer,7.5,Historica,+50 Euros,Baja,Solo,Pie,Ruta dels Pecats a l'entorn del Mercat Central
3269,+45,Prefiero no decirlo,1.5,Turistica,+50 Euros,Alta,Solo,Pie,Trinitat - L'Almodí
3270,0-18,Mujer,3.5,Turistica,1-50 Euros,Baja,Amigos,Pie,Arbres: La volta al món
3271,35-45,Mujer,5.5,Patrimonio,1-50 Euros,Baja,Solo,Bicicleta,Ruta Carrer Russafa - la Llotja
3272,+45,Mujer,3.5,Literaria,Gratis,Alta,Familia,Pie,Trinitat - L'Almodí
3273,+45,Hombre,1.5,Patrimonio,Gratis,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
3274,0-18,Prefiero no decirlo,7.5,Patrimonio,1-50 Euros,Baja,Familia,Pie,Ruta Carrer Russafa - la Llotja
3275,18-35,Hombre,5.5,Turistica,1-50 Euros,Baja,Solo,Pie,Arbres: Els indians
3276,18-35,Prefiero no decirlo,1.5,Turistica,Gratis,Baja,Amigos,Bicicleta,Ruta Cultural Anell Ciclista
3277,18-35,Mujer,7.5,Literaria,+50 Euros,Baja,Familia,Bicicleta,Ruta Cultural Anell Ciclista
3278,35-45,Mujer,1.5,Turistica,+50 Euros,Alta,Solo,Pie,Glorieta-Santa Catalina
3279,0-18,Prefiero no decirlo,7.5,Patrimonio,Gratis,Baja,Amigos,Bicicleta,Ruta Carrer Russafa - la Llotja
3280,+45,Prefiero no decirlo,1.5,Historica,1-50 Euros,Baja,Familia,Pie,Ruta dels Pecats a l'entorn del Mercat Central
3281,0-18,Mujer,3.5,Literaria,1-50 Euros,Baja,Familia,Pie,Entre Naranjos
3282,35-45,Prefiero no decirlo,5.5,Historica,Gratis,Alta,Familia,Pie,Trinitat - L'Almodí
3283,+45,Hombre,3.5,Literaria,1-50 Euros,Alta,Solo,Pie,Trinitat - L'Almodí
3284,0-18,Hombre,5.5,Literaria,1-50 Euros,Baja,Pareja,Bicicleta,Entre Naranjos
3285,18-35,Mujer,3.5,Historica,+50 Euros,Baja,Solo,Bicicleta,Ruta Cultural Anell Ciclista
3286,+45,Prefiero no decirlo,7.5,Patrimonio,Gratis,Alta,Familia,Bicicleta,Trinitat - L'Almodí
3287,18-35,Hombre,5.5,Historica,+50 Euros,Alta,Amigos,Pie,Ruta de la Seda
3288,+45,Prefiero no decirlo,3.5,Turistica,+50 Euros,Alta,Amigos,Bicicleta,Glorieta-Santa Catalina
3289,18-35,Hombre,5.5,Historica,1-50 Euros,Alta,Pareja,Bicicleta,Ruta València amb bicicleta
3290,35-45,Mujer,7.5,Historica,1-50 Euros,Alta,Solo,Bicicleta,Trinitat - L'Almodí
3291,0-18,Prefiero no decirlo,7.5,Patrimonio,1-50 Euros,Alta,Familia,Bicicleta,Trinitat - L'Almodí
3292,0-18,Mujer,3.5,Historica,Gratis,Baja,Solo,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
3293,18-35,Mujer,7.5,Literaria,1-50 Euros,Alta,Pareja,Pie,No hay ruta
3294,35-45,Prefiero no decirlo,3.5,Turistica,Gratis,Baja,Solo,Bicicleta,Arbres: La volta al món
3295,35-45,Hombre,7.5,Literaria,+50 Euros,Alta,Solo,Bicicleta,Glorieta-Santa Catalina
3296,+45,Prefiero no decirlo,3.5,Historica,Gratis,Baja,Familia,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
3297,18-35,Prefiero no decirlo,1.5,Patrimonio,1-50 Euros,Baja,Familia,Bicicleta,Arbres monumentals i singulars
3298,0-18,Prefiero no decirlo,3.5,Historica,+50 Euros,Baja,Amigos,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
3299,+45,Mujer,3.5,Historica,Gratis,Baja,Pareja,Pie,Ruta dels Pecats a l'entorn del Mercat Central
3300,0-18,Mujer,3.5,Historica,+50 Euros,Alta,Solo,Pie,Trinitat - L'Almodí
3301,+45,Mujer,7.5,Literaria,1-50 Euros,Alta,Familia,Pie,Trinitat - L'Almodí
3302,35-45,Hombre,3.5,Historica,1-50 Euros,Baja,Familia,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
3303,+45,Prefiero no decirlo,3.5,Historica,1-50 Euros,Alta,Solo,Pie,Trinitat - L'Almodí
3304,35-45,Hombre,7.5,Patrimonio,1-50 Euros,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
3305,0-18,Mujer,1.5,Historica,Gratis,Baja,Amigos,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
3306,0-18,Mujer,3.5,Literaria,1-50 Euros,Alta,Familia,Bicicleta,Trinitat - L'Almodí
3307,+45,Prefiero no decirlo,3.5,Turistica,1-50 Euros,Baja,Pareja,Bicicleta,Arbres: La volta al món
3308,18-35,Hombre,5.5,Historica,1-50 Euros,Alta,Amigos,Pie,Ruta recinte enmurallat d'època islàmica
3309,35-45,Prefiero no decirlo,1.5,Patrimonio,1-50 Euros,Baja,Familia,Bicicleta,Sant Agustí - Portal Nou
3310,35-45,Hombre,5.5,Patrimonio,1-50 Euros,Alta,Amigos,Bicicleta,Trinitat - L'Almodí
3311,35-45,Prefiero no decirlo,1.5,Patrimonio,1-50 Euros,Alta,Pareja,Bicicleta,Trinitat - L'Almodí
3312,18-35,Mujer,5.5,Literaria,Gratis,Baja,Familia,Pie,La barraca
3313,0-18,Hombre,3.5,Turistica,+50 Euros,Alta,Familia,Pie,Glorieta-Santa Catalina
3314,0-18,Prefiero no decirlo,3.5,Literaria,+50 Euros,Alta,Familia,Pie,Trinitat - L'Almodí
3315,+45,Hombre,3.5,Literaria,Gratis,Alta,Pareja,Bicicleta,Trinitat - L'Almodí
3316,35-45,Mujer,7.5,Literaria,Gratis,Baja,Amigos,Bicicleta,Contes Blasco Ibañez – Ruta 1
3317,18-35,Hombre,7.5,Patrimonio,Gratis,Alta,Solo,Bicicleta,Ruta València amb bicicleta
3318,35-45,Mujer,1.5,Literaria,+50 Euros,Baja,Solo,Pie,Contes Blasco Ibañez – Ruta 1
3319,18-35,Hombre,1.5,Turistica,+50 Euros,Alta,Pareja,Pie,Ruta pel Centre Històric
3320,35-45,Mujer,1.5,Patrimonio,+50 Euros,Alta,Amigos,Pie,Glorieta-Santa Catalina
3321,+45,Hombre,3.5,Turistica,+50 Euros,Alta,Familia,Bicicleta,Trinitat - L'Almodí
3322,18-35,Mujer,3.5,Literaria,Gratis,Baja,Familia,Pie,La barraca
3323,18-35,Hombre,5.5,Patrimonio,1-50 Euros,Alta,Pareja,Pie,Sant Agustí – Pont de Fusta
3324,18-35,Prefiero no decirlo,5.5,Turistica,Gratis,Alta,Pareja,Bicicleta,Ruta València amb bicicleta
3325,0-18,Hombre,5.5,Turistica,+50 Euros,Baja,Solo,Bicicleta,Arbres: La volta al món
3326,35-45,Mujer,5.5,Patrimonio,Gratis,Baja,Solo,Pie,Ruta Carrer Russafa - la Llotja
3327,0-18,Prefiero no decirlo,3.5,Turistica,+50 Euros,Baja,Amigos,Pie,Arbres: La volta al món
3328,35-45,Hombre,3.5,Historica,Gratis,Baja,Familia,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
3329,+45,Prefiero no decirlo,3.5,Turistica,+50 Euros,Alta,Familia,Bicicleta,Trinitat - L'Almodí
3330,18-35,Prefiero no decirlo,1.5,Patrimonio,+50 Euros,Baja,Pareja,Pie,Serrans - Palau de la Generalitat
3331,0-18,Hombre,5.5,Historica,1-50 Euros,Alta,Familia,Pie,Glorieta-Santa Catalina
3332,35-45,Mujer,7.5,Literaria,1-50 Euros,Alta,Familia,Pie,Trinitat - L'Almodí
3333,35-45,Hombre,3.5,Literaria,Gratis,Alta,Solo,Pie,Trinitat - L'Almodí
3334,18-35,Hombre,1.5,Literaria,1-50 Euros,Baja,Amigos,Pie,Contes Blasco Ibañez – Ruta 2
3335,+45,Hombre,5.5,Literaria,+50 Euros,Baja,Solo,Bicicleta,Entre Naranjos
3336,18-35,Hombre,7.5,Turistica,Gratis,Alta,Familia,Pie,Ruta pel Centre Històric
3337,0-18,Hombre,7.5,Literaria,+50 Euros,Alta,Solo,Bicicleta,Glorieta-Santa Catalina
3338,+45,Mujer,3.5,Patrimonio,Gratis,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
3339,+45,Prefiero no decirlo,5.5,Turistica,Gratis,Alta,Familia,Pie,Glorieta-Santa Catalina
3340,0-18,Mujer,5.5,Literaria,1-50 Euros,Alta,Familia,Bicicleta,Trinitat - L'Almodí
3341,35-45,Mujer,5.5,Literaria,Gratis,Baja,Amigos,Pie,Contes Blasco Ibañez – Ruta 1
3342,18-35,Hombre,7.5,Historica,1-50 Euros,Alta,Amigos,Bicicleta,Ruta València amb bicicleta
3343,0-18,Prefiero no decirlo,5.5,Patrimonio,+50 Euros,Baja,Amigos,Bicicleta,Ruta Carrer Russafa - la Llotja
3344,35-45,Mujer,3.5,Turistica,+50 Euros,Baja,Amigos,Pie,Arbres: La volta al món
3345,+45,Mujer,5.5,Literaria,1-50 Euros,Alta,Solo,Pie,Trinitat - L'Almodí
3346,+45,Hombre,7.5,Turistica,Gratis,Alta,Amigos,Bicicleta,Glorieta-Santa Catalina
3347,18-35,Prefiero no decirlo,3.5,Turistica,Gratis,Baja,Solo,Pie,Arbres: Un passeig per l’Albereda
3348,35-45,Mujer,5.5,Historica,Gratis,Baja,Solo,Pie,Ruta dels Pecats a l'entorn del Mercat Central
3349,+45,Hombre,3.5,Turistica,+50 Euros,Baja,Familia,Bicicleta,Arbres: La volta al món
3350,35-45,Prefiero no decirlo,3.5,Turistica,+50 Euros,Baja,Pareja,Pie,Arbres: La volta al món
3351,+45,Mujer,5.5,Patrimonio,Gratis,Alta,Solo,Pie,Trinitat - L'Almodí
3352,+45,Prefiero no decirlo,1.5,Turistica,+50 Euros,Baja,Amigos,Pie,Arbres: La volta al món
3353,35-45,Prefiero no decirlo,1.5,Patrimonio,Gratis,Baja,Solo,Bicicleta,Sant Agustí - Portal Nou
3354,+45,Hombre,3.5,Patrimonio,+50 Euros,Baja,Familia,Bicicleta,Torres de Quart - Temple
3355,0-18,Mujer,5.5,Literaria,1-50 Euros,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
3356,+45,Hombre,1.5,Patrimonio,+50 Euros,Baja,Solo,Bicicleta,Sant Agustí - Portal Nou
3357,+45,Hombre,5.5,Literaria,1-50 Euros,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
3358,18-35,Mujer,7.5,Turistica,Gratis,Alta,Amigos,Bicicleta,Ruta València amb bicicleta
3359,35-45,Hombre,3.5,Historica,1-50 Euros,Baja,Amigos,Pie,Ruta dels Pecats a l'entorn del Mercat Central
3360,+45,Hombre,3.5,Turistica,Gratis,Baja,Amigos,Pie,Arbres: La volta al món
3361,0-18,Prefiero no decirlo,5.5,Literaria,+50 Euros,Alta,Pareja,Pie,Trinitat - L'Almodí
3362,+45,Prefiero no decirlo,1.5,Turistica,Gratis,Alta,Solo,Bicicleta,Glorieta-Santa Catalina
3363,+45,Mujer,5.5,Historica,1-50 Euros,Alta,Familia,Pie,Trinitat - L'Almodí
3364,18-35,Hombre,7.5,Historica,Gratis,Alta,Familia,Bicicleta,Ruta València amb bicicleta
3365,0-18,Mujer,3.5,Turistica,+50 Euros,Baja,Pareja,Bicicleta,Arbres: La volta al món
3366,0-18,Hombre,5.5,Historica,+50 Euros,Baja,Pareja,Pie,Ruta dels Pecats a l'entorn del Mercat Central
3367,0-18,Mujer,3.5,Literaria,+50 Euros,Baja,Pareja,Bicicleta,Entre Naranjos
3368,+45,Prefiero no decirlo,5.5,Patrimonio,+50 Euros,Alta,Amigos,Pie,Glorieta-Santa Catalina
3369,+45,Mujer,1.5,Patrimonio,+50 Euros,Baja,Familia,Pie,Sant Agustí - Portal Nou
3370,35-45,Hombre,5.5,Turistica,Gratis,Baja,Amigos,Pie,Arbres: La volta al món
3371,+45,Prefiero no decirlo,5.5,Turistica,1-50 Euros,Alta,Solo,Bicicleta,Trinitat - L'Almodí
3372,0-18,Prefiero no decirlo,3.5,Patrimonio,+50 Euros,Baja,Familia,Bicicleta,Torres de Quart - Temple
3373,35-45,Mujer,1.5,Literaria,1-50 Euros,Alta,Solo,Pie,Glorieta-Santa Catalina
3374,+45,Mujer,3.5,Patrimonio,1-50 Euros,Baja,Amigos,Bicicleta,Torres de Quart - Temple
3375,+45,Hombre,7.5,Literaria,Gratis,Alta,Pareja,Pie,Trinitat - L'Almodí
3376,35-45,Hombre,7.5,Turistica,Gratis,Alta,Solo,Pie,Glorieta-Santa Catalina
3377,+45,Hombre,5.5,Patrimonio,+50 Euros,Alta,Pareja,Pie,Glorieta-Santa Catalina
3378,+45,Prefiero no decirlo,1.5,Turistica,Gratis,Baja,Familia,Pie,Arbres: La volta al món
3379,18-35,Prefiero no decirlo,7.5,Turistica,+50 Euros,Alta,Pareja,Bicicleta,Ruta València amb bicicleta
3380,18-35,Mujer,5.5,Patrimonio,1-50 Euros,Alta,Familia,Pie,Jardins del Reial - Glorieta
3381,0-18,Hombre,7.5,Historica,+50 Euros,Baja,Solo,Pie,Ruta dels Pecats a l'entorn del Mercat Central
3382,18-35,Prefiero no decirlo,5.5,Historica,1-50 Euros,Baja,Familia,Bicicleta,Arbres monumentals i singulars
3383,18-35,Prefiero no decirlo,5.5,Turistica,1-50 Euros,Alta,Amigos,Pie,Ruta pel Centre Històric
3384,35-45,Prefiero no decirlo,1.5,Turistica,1-50 Euros,Baja,Pareja,Pie,Arbres: La volta al món
3385,0-18,Mujer,3.5,Historica,1-50 Euros,Alta,Familia,Bicicleta,Trinitat - L'Almodí
3386,+45,Prefiero no decirlo,1.5,Literaria,Gratis,Baja,Familia,Bicicleta,Contes Blasco Ibañez – Ruta 1
3387,0-18,Prefiero no decirlo,3.5,Historica,1-50 Euros,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
3388,35-45,Hombre,3.5,Patrimonio,Gratis,Alta,Pareja,Pie,Glorieta-Santa Catalina
3389,18-35,Hombre,1.5,Literaria,1-50 Euros,Baja,Amigos,Bicicleta,Ruta Cultural Anell Ciclista
3390,35-45,Hombre,7.5,Historica,1-50 Euros,Alta,Solo,Pie,Glorieta-Santa Catalina
3391,+45,Hombre,1.5,Patrimonio,Gratis,Baja,Amigos,Pie,Sant Agustí - Portal Nou
3392,35-45,Mujer,1.5,Turistica,Gratis,Alta,Amigos,Bicicleta,Glorieta-Santa Catalina
3393,35-45,Hombre,3.5,Historica,+50 Euros,Baja,Familia,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
3394,18-35,Prefiero no decirlo,5.5,Patrimonio,Gratis,Baja,Familia,Bicicleta,Arbres monumentals i singulars
3395,35-45,Prefiero no decirlo,5.5,Literaria,+50 Euros,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
3396,18-35,Hombre,3.5,Historica,+50 Euros,Alta,Solo,Bicicleta,Ruta València amb bicicleta
3397,35-45,Prefiero no decirlo,1.5,Turistica,1-50 Euros,Baja,Solo,Bicicleta,Arbres: La volta al món
3398,0-18,Prefiero no decirlo,1.5,Patrimonio,1-50 Euros,Baja,Familia,Pie,Sant Agustí - Portal Nou
3399,35-45,Prefiero no decirlo,5.5,Historica,Gratis,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
3400,35-45,Hombre,3.5,Turistica,+50 Euros,Alta,Solo,Bicicleta,Glorieta-Santa Catalina
3401,35-45,Prefiero no decirlo,3.5,Historica,1-50 Euros,Alta,Amigos,Bicicleta,Trinitat - L'Almodí
3402,18-35,Mujer,3.5,Literaria,1-50 Euros,Alta,Solo,Pie,No hay ruta
3403,+45,Hombre,3.5,Literaria,+50 Euros,Alta,Pareja,Pie,Glorieta-Santa Catalina
3404,+45,Mujer,5.5,Historica,+50 Euros,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
3405,+45,Prefiero no decirlo,1.5,Turistica,Gratis,Baja,Pareja,Bicicleta,Arbres: La volta al món
3406,+45,Hombre,7.5,Historica,1-50 Euros,Alta,Amigos,Bicicleta,Trinitat - L'Almodí
3407,35-45,Mujer,7.5,Patrimonio,1-50 Euros,Baja,Pareja,Bicicleta,Ruta Carrer Russafa - la Llotja
3408,35-45,Prefiero no decirlo,5.5,Turistica,+50 Euros,Alta,Familia,Bicicleta,Glorieta-Santa Catalina
3409,18-35,Mujer,7.5,Turistica,1-50 Euros,Alta,Familia,Pie,Ruta pel Centre Històric
3410,35-45,Prefiero no decirlo,1.5,Literaria,+50 Euros,Baja,Solo,Bicicleta,Entre Naranjos
3411,+45,Mujer,1.5,Patrimonio,Gratis,Baja,Familia,Pie,Sant Agustí - Portal Nou
3412,35-45,Mujer,7.5,Turistica,1-50 Euros,Baja,Amigos,Pie,Arbres: La volta al món
3413,18-35,Hombre,5.5,Patrimonio,+50 Euros,Baja,Familia,Pie,Serrans - Palau de la Generalitat
3414,+45,Prefiero no decirlo,3.5,Turistica,Gratis,Alta,Amigos,Pie,Glorieta-Santa Catalina
3415,35-45,Prefiero no decirlo,7.5,Turistica,+50 Euros,Baja,Pareja,Pie,Arbres: La volta al món
3416,+45,Hombre,3.5,Literaria,Gratis,Baja,Familia,Bicicleta,Contes Blasco Ibañez – Ruta 1
3417,+45,Prefiero no decirlo,5.5,Patrimonio,+50 Euros,Alta,Solo,Bicicleta,Glorieta-Santa Catalina
3418,18-35,Mujer,5.5,Patrimonio,+50 Euros,Alta,Amigos,Pie,Jardins del Reial - Glorieta
3419,0-18,Hombre,3.5,Patrimonio,1-50 Euros,Alta,Familia,Pie,Glorieta-Santa Catalina
3420,35-45,Hombre,3.5,Historica,+50 Euros,Baja,Amigos,Pie,Ruta dels Pecats a l'entorn del Mercat Central
3421,+45,Hombre,7.5,Turistica,Gratis,Alta,Familia,Pie,Glorieta-Santa Catalina
3422,+45,Prefiero no decirlo,3.5,Literaria,+50 Euros,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
3423,+45,Hombre,7.5,Historica,1-50 Euros,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
3424,18-35,Prefiero no decirlo,7.5,Literaria,Gratis,Alta,Pareja,Pie,No hay ruta
3425,0-18,Hombre,5.5,Historica,+50 Euros,Alta,Familia,Pie,Trinitat - L'Almodí
3426,18-35,Prefiero no decirlo,3.5,Historica,1-50 Euros,Baja,Familia,Bicicleta,Arbres monumentals i singulars
3427,35-45,Hombre,7.5,Literaria,1-50 Euros,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
3428,+45,Hombre,7.5,Historica,+50 Euros,Alta,Solo,Bicicleta,Glorieta-Santa Catalina
3429,18-35,Hombre,5.5,Turistica,1-50 Euros,Baja,Familia,Bicicleta,Arbres monumentals i singulars
3430,0-18,Prefiero no decirlo,7.5,Historica,1-50 Euros,Baja,Amigos,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
3431,35-45,Prefiero no decirlo,7.5,Literaria,1-50 Euros,Baja,Amigos,Pie,Contes Blasco Ibañez – Ruta 1
3432,0-18,Mujer,3.5,Patrimonio,Gratis,Alta,Amigos,Bicicleta,Glorieta-Santa Catalina
3433,35-45,Prefiero no decirlo,3.5,Turistica,Gratis,Alta,Familia,Bicicleta,Trinitat - L'Almodí
3434,+45,Hombre,1.5,Turistica,1-50 Euros,Baja,Solo,Pie,Arbres: La volta al món
3435,35-45,Hombre,1.5,Historica,Gratis,Baja,Amigos,Pie,Ruta dels Pecats a l'entorn del Mercat Central
3436,0-18,Prefiero no decirlo,5.5,Historica,1-50 Euros,Baja,Familia,Pie,Ruta dels Pecats a l'entorn del Mercat Central
3437,18-35,Hombre,1.5,Patrimonio,Gratis,Baja,Pareja,Bicicleta,Arbres monumentals i singulars
3438,+45,Hombre,1.5,Patrimonio,1-50 Euros,Alta,Familia,Pie,Glorieta-Santa Catalina
3439,+45,Mujer,3.5,Patrimonio,+50 Euros,Baja,Solo,Pie,Torres de Quart - Temple
3440,18-35,Prefiero no decirlo,5.5,Turistica,+50 Euros,Baja,Familia,Pie,Arbres: Un viatge pel Mediterrani
3441,0-18,Mujer,7.5,Turistica,1-50 Euros,Alta,Amigos,Bicicleta,Trinitat - L'Almodí
